epoch,direction_pred_7d_accuracy,direction_pred_7d_loss,learning_rate,loss,price_pred_7d_loss,price_pred_7d_mae,val_direction_pred_7d_accuracy,val_direction_pred_7d_loss,val_loss,val_price_pred_7d_loss,val_price_pred_7d_mae
0,0.5104166865348816,6602401.0,0.0010000000474974513,140235111399424.0,140235094622208.0,6851973.0,0.5,977235.4375,1180538240.0,1171879424.0,34109.3125
1,0.49337121844291687,2647449.5,0.0010000000474974513,4470722789376.0,4470716497920.0,1643843.375,0.5,318811.4375,2761649408.0,2760662784.0,52528.546875
2,0.4848484992980957,1759940.625,0.0010000000474974513,2388868726784.0,2388865581056.0,1197926.0,0.5,188307.3125,3627200000.0,3633682432.0,60212.03125
3,0.5113636255264282,1176309.5,0.0010000000474974513,1413344133120.0,1413341380608.0,922171.25,0.5,124848.90625,2407623936.0,2409243392.0,49062.15625
4,0.5009469985961914,1008172.4375,0.0010000000474974513,986388758528.0,986386661376.0,750640.25,0.5,73422.53125,1550272384.0,1551356672.0,39367.38671875
5,0.4943181872367859,880099.8125,0.0010000000474974513,695146315776.0,695144480768.0,620656.75,0.5,71180.296875,2386101248.0,2385920768.0,48845.79296875
6,0.5142045617103577,721653.8125,0.0010000000474974513,616871559168.0,616870051840.0,565128.9375,0.5,60564.859375,3966988288.0,3966245120.0,62982.89453125
7,0.48674243688583374,680623.5,0.0010000000474974513,356199301120.0,356197957632.0,434787.3125,0.5,52980.296875,1611550080.0,1611149440.0,40142.5625
8,0.48200756311416626,546709.125,0.0010000000474974513,262327664640.0,262326550528.0,350008.34375,0.5,63830.72265625,700994688.0,701146880.0,26473.712890625
9,0.5113636255264282,466034.71875,0.0010000000474974513,178061066240.0,178060165120.0,290833.78125,0.5,45897.82421875,670547392.0,670801984.0,25892.96875
10,0.5265151262283325,381432.34375,0.0010000000474974513,126766637056.0,126765875200.0,229011.859375,0.5,55828.921875,170887264.0,170907392.0,13067.7763671875
11,0.5151515007019043,344561.125,0.0010000000474974513,74873700352.0,74873012224.0,171574.453125,0.5,43082.015625,83251272.0,83089800.0,9119.203125
12,0.501893937587738,327501.3125,0.0010000000474974513,67224748032.0,67224072192.0,153335.796875,0.5,30660.96875,38196104.0,38090244.0,6175.015625
13,0.4744318127632141,298396.5,0.0010000000474974513,52018601984.0,52017999872.0,121707.5,0.5,28001.359375,18780680.0,18691896.0,4326.75390625
14,0.49810606241226196,234703.21875,0.0010000000474974513,45046235136.0,45045760000.0,107512.578125,0.5,15777.2275390625,5244111.0,5195500.0,2282.4697265625
15,0.49337121844291687,211139.390625,0.0010000000474974513,34861547520.0,34861125632.0,91941.703125,0.5,6385.88671875,1551723.5,1533708.25,1240.2618408203125
16,0.4744318127632141,167687.1875,0.0010000000474974513,34732507136.0,34732171264.0,78564.0859375,0.5,1131.8575439453125,425100.96875,422696.71875,650.1820068359375
17,0.5047348737716675,149444.375,0.0010000000474974513,29465544704.0,29465245696.0,69979.3671875,0.5,4.667947292327881,254875.0625,254758.71875,504.8388977050781
18,0.5132575631141663,107626.34375,0.0010000000474974513,15706696704.0,15706480640.0,50318.5625,0.5,468.36041259765625,170374.734375,169312.25,411.5757751464844
19,0.49147728085517883,108238.375,0.0010000000474974513,16209901568.0,16209689600.0,47778.36328125,0.5,359.5130615234375,154941.375,154105.890625,392.6681213378906
20,0.5009469985961914,85924.0859375,0.0010000000474974513,18548895744.0,18548725760.0,48824.6875,0.5,176.99359130859375,157217.109375,156776.34375,396.0370178222656
21,0.5407196879386902,64795.33203125,0.0010000000474974513,11911689216.0,11911559168.0,37747.5859375,0.5,81.96846008300781,152222.078125,151960.8125,389.9515075683594
22,0.5123106241226196,61056.94140625,0.0010000000474974513,18132146176.0,18132023296.0,41505.140625,0.5,73.73904418945312,114872.2578125,114703.7109375,338.7160949707031
